01,D99_POP,0
01,P08_POP,0
01,P13_POP,0
01,P19_POP,0
02,D99_POP,0
02,P08_POP,0
02,P13_POP,0
02,P19_POP,0
03,D99_POP,0
03,P08_POP,0
03,P13_POP,0
03,P19_POP,0
04,D99_POP,0
04,P08_POP,0
04,P13_POP,0
04,P19_POP,0
06,D99_POP,0
06,P08_POP,0
06,P13_POP,0
06,P19_POP,0
11,D99_POP,0
11,P08_POP,0
11,P13_POP,0
11,P19_POP,0
24,D99_POP,0
24,P08_POP,0
24,P13_POP,0
24,P19_POP,0
27,D99_POP,0
27,P08_POP,0
27,P13_POP,0
27,P19_POP,0
28,D99_POP,0
28,P08_POP,0
28,P13_POP,0
28,P19_POP,0
32,D99_POP,0
32,P08_POP,0
32,P13_POP,0
32,P19_POP,0
44,D99_POP,0
44,P08_POP,0
44,P13_POP,0
44,P19_POP,0
52,D99_POP,0
52,P08_POP,0
52,P13_POP,0
52,P19_POP,0
53,D99_POP,0
53,P08_POP,0
53,P13_POP,0
53,P19_POP,0
75,D99_POP,0
75,P08_POP,0
75,P13_POP,0
75,P19_POP,0
76,D99_POP,0
76,P08_POP,0
76,P13_POP,0
76,P19_POP,0
84,D99_POP,0
84,P08_POP,0
84,P13_POP,0
84,P19_POP,0
93,D99_POP,0
93,P08_POP,0
93,P13_POP,0
93,P19_POP,0
94,D99_POP,0
94,P08_POP,0
94,P13_POP,0
94,P19_POP,0
