01,3,GUADELOUPE,Guadeloupe,Guadeloupe
02,3,MARTINIQUE,Martinique,Martinique
03,3,GUYANE,Guyane,Guyane
04,0,LA REUNION,La Réunion,La Réunion
06,0,MAYOTTE,Mayotte,Mayotte
11,1,ILE DE FRANCE,Île-de-France,Île-de-France
24,2,CENTRE VAL DE LOIRE,Centre-Val de Loire,Centre-Val de Loire
27,0,BOURGOGNE FRANCHE COMTE,Bourgogne-Franche-Comté,Bourgogne-Franche-Comté
28,0,NORMANDIE,Normandie,Normandie
32,4,HAUTS DE FRANCE,Hauts-de-France,Hauts-de-France
44,2,GRAND EST,Grand Est,Grand Est
52,4,PAYS DE LA LOIRE,Pays de la Loire,Pays de la Loire
53,0,BRETAGNE,Bretagne,Bretagne
75,3,NOUVELLE AQUITAINE,Nouvelle-Aquitaine,Nouvelle-Aquitaine
76,1,OCCITANIE,Occitanie,Occitanie
84,1,AUVERGNE RHONE ALPES,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
93,0,PROVENCE ALPES COTE D AZUR,Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur
94,0,CORSE,Corse,Corse
